IR
43996
43720
43672
43760
43940
44132
44288
44404
44512
44600
44700
44756
44784
44812
44800
44776
44752
44776
44792
44804
44868
44864
44940
44944
44984
45036
45068
45076
45108
45120
45148
45164
45172
45184
45152
44876
44468
43960
43656
43564
43648
43812
43984
44128
44228
44368
44464
44568
44648
44700
44668
44696
44672
44664
44672
44688
44736
44756
44772
44824
44868
44884
44928
44968
44960
44984
44992
45036
45040
45060
45120
45148
45124
45068
44760
44420
44104
43892
43924
44052
44184
44300
44368
44420
44528
44588
44664
44704
44712
44744
44708
44720
44696
44684
44720
44740
44796
44808
44852
44904
44916
44928
44980
45008
45056
45060
45072
45080
45124
45108
45136
45172
45152
45056
44768
44416
44056
43892
43896
44008
44160
44292
44400
44464
44528
44612
44676
44752
44740
44740
44732
44704
44700
44716
44748
44764
44808
44852
44900
44940
44948
44984
45004
45024
45032
45044
45064
45124
45088
44948
44600
44268
43988
43928
44000
44120
44240
44332
44464
44508
44596
44668
44712
44728
44764
44740
44696
44696
44700
44760
44748
44776
44800
44836
44868
44904
44908
44952
44976
44996
45016
45056
45040
44880
44540
44212
43948
43828
43872
44016
44140
44260
44324
44396
44448
44520
44568
44628
44640
44628
44624
44600
44636
44624
44656
44664
44716
44744
44756
44788
44828
44844
44864
44864
44908
44932
44936
44976
44968
44820
44524
44176
43844
43712
43752
43896
44024
44144
44180
44260
44344
44420
44520
44532
44556
44576
44556
44552
44528
44572
44584
44624
44636
44628
44680
44700
44752
44788
44784
44800
44840
44860
44848
44912
44896
44908
44928
44968
44920
44692
44352
44076
43860
43800
43872
43996
44108
44180
44244
44284
44360
44412
44472
44476
44468
44444
44444
44444
44448
44440
44492
44516
44532
44556
44588
44616
44612
44632
44648
44688
44704
44696
44712
44732
44752
44732
44592
44292
44028
43876
43880
43952
44076
44144
44228
44296
44328
44368
44416
44468
44500
44500
44464
44452
44424
44468
44456
44508
44520
44496
44520
44540
44584
44600
44632
44608
44648
44664
44696
44676
44596
44376
44084
43876
43808
43836
43924
44020
44112
44176
44204
44276
44360
44416
44440
44464
44428
44420
44416
44420
44432
44436
44448
44480
44524
44552
44588
44620
44608
44668
44656
44680
44688
44716
44716
44624
44380
44044
43776
43676
43716
43796
43908
43996
44056
44100
44196
44248
44324
44376
44396
44408
44404
44396
44396
44404
44380
44412
44428
44476
44540
44556
44572
44612
44616
44644
44668
44668
44720
44724
44700
44488
44144
43800
43580
43572
43648
43776
43904
43980
44040
44136
44228
44328
44376
44388
44408
44408
44416
44352
44400
44436
44448
44500
44524
44484
44568
44604
44604
44620
44648
44656
44676
44704
44688
44540
44212
43904
43736
43696
43788
43896
43992
44068
44164
44244
44320
44376
44424
44436
44460
44424
44424
44416
44404
44428
44448
44456
44520
44508
44544
44552
44560
44588
44608
44648
44668
44676
44496
44160
43804
43500
43448
43504
43640
43792
43896
43992
44064
44156
44248
44296
44328
44344
44324
44300
44296
44296
44304
44352
44376
44416
44440
44456
44516
44536
44536
44584
44600
44604
44616
44544
44236
43704
43220
42992
42924
43000
43156
43276
43388
43512
43672
43832
43952
44060
44120
44132
44124
44120
44100
44132
44168
44180
44236
44296
44328
44344
44392
44428
44456
44516
44508
44544
44552
44368
43960
43308
42872
42728
42756
42872
43008
43172
43304
43452
43644
43816
43952
44052
44104
44116
44108
44108
44124
44144
44180
44192
44256
44292
44328
44392
44380
44424
44468
44484
44532
44556
44492
44240
43724
43256
43008
42996
43112
43288
43500
43668
43808
43944
44068
44160
44196
44248
44260
44240
44232
44244
44248
44276
44320
44344
44360
44376
44408
44436
44484
44496
44540
44584
44580
44432
44072
43612
43292
43192
43284
43420
43600
43736
43872
43988
44088
44200
44260
44288
44292
44268
44248
44236
44268
44308
44324
44320
44372
44396
44424
44456
44480
44512
44500
44560
44552
44408
44068
43592
43256
43148
43248
43384
43580
43744
43876
43992
44108
44196
44260
44280
44296
44272
44272
44284
44268
44316
44324
44356
44364
44392
44440
44452
44500
44504
44548
44556
44548
44392
44024
43656
43424
43412
43524
43688
43840
43956
44036
44104
44224
44296
44328
44332
44364
44336
44316
44320
44312
44348
44368
44364
44408
44424
44468
44480
44512
44496
44556
44572
44528
44304
43924
43620
43476
43504
43632
43764
43864
43984
44048
44124
44188
44240
44288
44324
44320
44312
44284
44280
